id,text,done,created_at,category
1831481d-65f6-42b9-b7e3-673ca6d8a22c,po 15.8. koupit SanyoSanin Area Pass (oblast až po Kyoto) https://www.westjr.co.jp/travel-information/en/tickets-passes/jrwest-rail-pass/sanyo_sanin/,false,2026-05-27 10:40:53.842818+00,Cestování
2058419a-4bc4-439c-82aa-8961afb021e0,BUS Gyeongju -> Busan,false,2026-08-05 05:37:45.043809+00,Cestování
492fed57-3ade-41c0-bf9a-9d603c2235dc,"instalovat kartu Suica (Mary) - appka nainstalována, dá se nabít, až v Japonsku",true,2026-05-30 11:27:30.647792+00,Ostatní
4dd7e185-ee63-4419-9c3c-837f382b2f13,ubytování - Kyoto (4 noci),true,2026-05-27 10:38:40.696302+00,Ubytování
7489db3a-2254-464a-ae4b-ad573747d59a,cestovní pojištění,false,2026-05-28 12:56:15.917361+00,Ostatní
759a6d78-350e-492a-bdf2-426940968ebe,ubytování - Busan (4 noci),true,2026-05-27 10:36:50.869028+00,Ubytování
7ae5bd29-6272-45fa-9e7c-85f7018e1317,Všechno ubytování je super! Lucka je nejvíc :) 감사합니다,true,2026-07-29 06:45:21.205623+00,Ubytování
80506780-c758-4852-a241-eebb5eb37a0d,letenka - Busan -> Fukuoka,false,2026-05-27 10:39:56.33628+00,Cestování
85b0206a-0c04-465c-b96c-8672902eeec8,zkontrolovat limity na Revolut a směnit peníze,false,2026-05-28 12:41:25.688336+00,Ostatní
9be7183d-9745-48e8-8b17-3799ebeb3f21,letenky - Praha -> Seoul,true,2026-05-29 09:09:57.829094+00,Cestování
b4ae2977-4e52-4397-a379-4b918853032f,letenky Tokyo - Praha,true,2026-05-30 16:37:51.707858+00,Cestování
c0773b6f-38c1-4884-a349-1a4b0ed70580,KTX nebo SRT vlak Seoul -> Gyeongju,false,2026-08-05 05:37:23.319922+00,Cestování
c7b463a6-3d37-465d-a21c-5434d66762cd,ubytování - Hiroshima (2 noci),true,2026-05-27 10:38:09.007906+00,Ubytování
cc439be6-bdd2-4964-837b-474cce2ef70a,ubytování - Tokyo (6 nocí),true,2026-05-27 10:39:29.065929+00,Ubytování
d12ad65d-8ace-4a60-b9d5-5ea99828359b,ubytování - Gyeongju (1 noc),true,2026-05-27 10:36:28.694506+00,Ubytování
d89b72b0-703a-4b4b-9c44-59b23bd06638,datový tarif Airalo,false,2026-05-31 09:20:21.269108+00,Ostatní
e305e97c-0f0e-4ad0-8eba-ae759fc6b508,11.8. koupit lístky Sky Capsule Busan,false,2026-08-05 05:38:32.844417+00,Cestování
f7e99218-c5c3-4812-b52b-6d491b1a49e1,ubytování - Seoul (4 noci),true,2026-05-27 10:22:45.846855+00,Ubytování
